,index,date,rank,song_name,song_id,album_name,artist,release_date
0,0,2021-11-17 17:30:02.13,1,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,Red (Taylor's Version),Taylor Swift,2021-11-12
1,1,2021-11-17 17:30:02.13,2,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,2021-10-14
2,2,2021-11-17 17:30:02.13,3,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23
3,3,2021-11-17 17:30:02.13,4,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,MONTERO,Lil Nas X,2021-09-17
4,4,2021-11-17 17:30:02.13,5,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,The Lockdown Sessions,Elton John,2021-10-22
5,5,2021-11-17 17:30:02.13,6,Heat Waves,02MWAaffLxlfxAUY7c5dvx,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06
6,6,2021-11-17 17:30:02.13,7,Shivers,50nfwKoDiSYg8zOCREWAm5,=,Ed Sheeran,2021-10-29
7,7,2021-11-17 17:30:02.13,8,Smokin Out The Window,7sMBvZCSUl99bJLXZaLa0b,An Evening With Silk Sonic,Bruno Mars,2021-11-11
8,8,2021-11-17 17:30:02.13,9,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,=,Ed Sheeran,2021-10-29
9,9,2021-11-17 17:30:02.13,10,Pepas,2B4GHvToeLTOBB4QLzW3Ni,La 167,Farruko,2021-10-01
10,10,2021-11-17 17:30:02.13,11,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) [from the series Arcane League of Legends],Imagine Dragons,2021-10-28
11,11,2021-11-17 17:30:02.13,12,One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,One Right Now,Post Malone,2021-11-05
12,12,2021-11-17 17:30:02.13,13,MONEY,7hU3IHwjX150XLoTVmjD0q,LALISA,LISA,2021-09-10
13,13,2021-11-17 17:30:02.13,14,My Universe,46HNZY1i7O6jwTA7Slo2PI,Music Of The Spheres,Coldplay,2021-10-15
14,14,2021-11-17 17:30:02.13,15,Woman,6Uj1ctrBOjOas8xZXGqKk4,Planet Her,Doja Cat,2021-06-25
15,15,2021-11-17 17:30:02.13,16,All Too Well (Taylor's Version),3nsfB1vus2qaloUdcBZvDu,Red (Taylor's Version),Taylor Swift,2021-11-12
16,16,2021-11-17 17:30:02.13,17,love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,CKay The First,CKay,2019-08-30
17,17,2021-11-17 17:30:02.13,18,Red (Taylor's Version),4OAuvHryIVv4kMDNSLuPt6,Red (Taylor's Version),Taylor Swift,2021-11-12
18,18,2021-11-17 17:30:02.13,19,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,4gvrJnKCKIPiacNsWVQwEU,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],CKay,2021-09-09
19,19,2021-11-17 17:30:02.13,20,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),15HMh4yxdf4wyxSZSlOgGZ,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,2021-09-16
20,20,2021-11-17 17:30:02.13,21,Toxic,2gQPv5jvVPqU2a9HhMNO1v,Toxic,BoyWithUke,2021-10-29
21,21,2021-11-17 17:30:02.13,22,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,Already Dead,Juice WRLD,2021-11-12
22,22,2021-11-17 17:30:02.13,23,good 4 u,4ZtFanR9U6ndgddUvNcjcG,SOUR,Olivia Rodrigo,2021-05-21
23,23,2021-11-17 17:30:02.13,24,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,Planet Her,Doja Cat,2021-06-25
24,24,2021-11-17 17:30:02.13,25,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,MONTERO,Lil Nas X,2021-09-17
25,25,2021-11-17 17:30:02.13,26,Moth To A Flame (with The Weeknd),2gpWyfu7eZ01zzncHpxOtA,Moth To A Flame,Swedish House Mafia,2021-10-22
26,26,2021-11-17 17:30:02.13,27,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,2021-07-30
27,27,2021-11-17 17:30:02.13,28,Beggin',3Wrjm47oTz2sjIgck11l5e,Chosen,Måneskin,2017-12-08
28,28,2021-11-17 17:30:02.13,29,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,Planet Her,Doja Cat,2021-06-25
29,29,2021-11-17 17:30:02.13,30,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),01K4zKU104LyJ8gMb7227B,Red (Taylor's Version),Taylor Swift,2021-11-12
30,30,2021-11-17 17:30:02.13,31,Do It To It,20on25jryn53hWghthWWW3,Do It To It,ACRAZE,2021-08-20
31,31,2021-11-17 17:30:02.13,32,LA FAMA (with The Weeknd),6dmXZ9B5HdFAyzHeTneYBK,LA FAMA (with The Weeknd),ROSALÍA,2021-11-11
32,32,2021-11-17 17:30:02.13,33,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),4CkgMiMqZ5JzW9iYXSTMTL,Red (Taylor's Version),Taylor Swift,2021-11-12
33,33,2021-11-17 17:30:02.13,34,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W,MONTERO,Lil Nas X,2021-09-17
34,34,2021-11-17 17:30:02.13,35,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),4IQkfUsrwXol38VV3U7t7T,Red (Taylor's Version),Taylor Swift,2021-11-12
35,35,2021-11-17 17:30:02.13,36,Ghost,6I3mqTwhRpn34SLVafSH7G,Justice,Justin Bieber,2021-03-19
36,36,2021-11-17 17:30:02.13,37,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,After Hours,The Weeknd,2020-03-20
37,37,2021-11-17 17:30:02.13,38,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,2021-10-05
38,38,2021-11-17 17:30:02.13,39,Leave The Door Open,1LPSkqVhWVRUkKE03YUkpB,An Evening With Silk Sonic,Bruno Mars,2021-11-11
39,39,2021-11-17 17:30:02.13,40,I Knew You Were Trouble (Taylor's Version),6AtZLIzUINvExIUy4QhdjP,Red (Taylor's Version),Taylor Swift,2021-11-12
40,40,2021-11-17 17:30:02.13,41,Life Goes On,0eu4C55hL6x29mmeAjytzC,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,2021-05-28
41,41,2021-11-17 17:30:02.13,42,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Lost Frequencies,2021-07-30
42,42,2021-11-17 17:30:02.13,43,Yonaguni,2JPLbjOn0wPCngEot2STUS,Yonaguni,Bad Bunny,2021-06-04
43,43,2021-11-17 17:30:02.13,44,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,THE ANXIETY,THE ANXIETY,2020-03-13
44,44,2021-11-17 17:30:02.13,45,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,2021-09-24
45,45,2021-11-17 17:30:02.13,46,traitor,5CZ40GBx1sQ9agT82CLQCT,SOUR,Olivia Rodrigo,2021-05-21
46,46,2021-11-17 17:30:02.13,47,State Of Grace (Taylor's Version),6lzc0Al0zfZOIFsFvBS1ki,Red (Taylor's Version),Taylor Swift,2021-11-12
47,47,2021-11-17 17:30:02.13,48,22 (Taylor's Version),3yII7UwgLF6K5zW3xad3MP,Red (Taylor's Version),Taylor Swift,2021-11-12
48,48,2021-11-17 17:30:02.13,49,Enchanted,04S1pkp1VaIqjg8zZqknR5,Speak Now,Taylor Swift,2010-01-01
49,49,2021-11-17 17:30:02.13,50,I Love You So,4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walters,2014-11-28
50,0,2021-11-18 16:00:04.739,1,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,Red (Taylor's Version),Taylor Swift,2021-11-12
51,1,2021-11-18 16:00:04.739,2,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,2021-10-14
52,2,2021-11-18 16:00:04.739,3,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23
53,3,2021-11-18 16:00:04.739,4,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,MONTERO,Lil Nas X,2021-09-17
54,4,2021-11-18 16:00:04.739,5,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,The Lockdown Sessions,Elton John,2021-10-22
55,5,2021-11-18 16:00:04.739,6,Heat Waves,02MWAaffLxlfxAUY7c5dvx,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06
56,6,2021-11-18 16:00:04.739,7,Shivers,50nfwKoDiSYg8zOCREWAm5,=,Ed Sheeran,2021-10-29
57,7,2021-11-18 16:00:04.739,8,Smokin Out The Window,7sMBvZCSUl99bJLXZaLa0b,An Evening With Silk Sonic,Bruno Mars,2021-11-11
58,8,2021-11-18 16:00:04.739,9,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,=,Ed Sheeran,2021-10-29
59,9,2021-11-18 16:00:04.739,10,Pepas,2B4GHvToeLTOBB4QLzW3Ni,La 167,Farruko,2021-10-01
60,10,2021-11-18 16:00:04.739,11,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) [from the series Arcane League of Legends],Imagine Dragons,2021-10-28
61,11,2021-11-18 16:00:04.739,12,One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,One Right Now,Post Malone,2021-11-05
62,12,2021-11-18 16:00:04.739,13,MONEY,7hU3IHwjX150XLoTVmjD0q,LALISA,LISA,2021-09-10
63,13,2021-11-18 16:00:04.739,14,My Universe,46HNZY1i7O6jwTA7Slo2PI,Music Of The Spheres,Coldplay,2021-10-15
64,14,2021-11-18 16:00:04.739,15,Woman,6Uj1ctrBOjOas8xZXGqKk4,Planet Her,Doja Cat,2021-06-25
65,15,2021-11-18 16:00:04.739,16,love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,CKay The First,CKay,2019-08-30
66,16,2021-11-18 16:00:04.739,17,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,4gvrJnKCKIPiacNsWVQwEU,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],CKay,2021-09-09
67,17,2021-11-18 16:00:04.739,18,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),15HMh4yxdf4wyxSZSlOgGZ,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,2021-09-16
68,18,2021-11-18 16:00:04.739,19,good 4 u,4ZtFanR9U6ndgddUvNcjcG,SOUR,Olivia Rodrigo,2021-05-21
69,19,2021-11-18 16:00:04.739,20,Toxic,2gQPv5jvVPqU2a9HhMNO1v,Toxic,BoyWithUke,2021-10-29
70,20,2021-11-18 16:00:04.739,21,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,Planet Her,Doja Cat,2021-06-25
71,21,2021-11-18 16:00:04.739,22,All Too Well (Taylor's Version),3nsfB1vus2qaloUdcBZvDu,Red (Taylor's Version),Taylor Swift,2021-11-12
72,22,2021-11-18 16:00:04.739,23,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,MONTERO,Lil Nas X,2021-09-17
73,23,2021-11-18 16:00:04.739,24,Moth To A Flame (with The Weeknd),2gpWyfu7eZ01zzncHpxOtA,Moth To A Flame,Swedish House Mafia,2021-10-22
74,24,2021-11-18 16:00:04.739,25,Beggin',3Wrjm47oTz2sjIgck11l5e,Chosen,Måneskin,2017-12-08
75,25,2021-11-18 16:00:04.739,26,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,2021-07-30
76,26,2021-11-18 16:00:04.739,27,Red (Taylor's Version),4OAuvHryIVv4kMDNSLuPt6,Red (Taylor's Version),Taylor Swift,2021-11-12
77,27,2021-11-18 16:00:04.739,28,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,Planet Her,Doja Cat,2021-06-25
78,28,2021-11-18 16:00:04.739,29,Do It To It,20on25jryn53hWghthWWW3,Do It To It,ACRAZE,2021-08-20
79,29,2021-11-18 16:00:04.739,30,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,Already Dead,Juice WRLD,2021-11-12
80,30,2021-11-18 16:00:04.739,31,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W,MONTERO,Lil Nas X,2021-09-17
81,31,2021-11-18 16:00:04.739,32,LA FAMA (with The Weeknd),6dmXZ9B5HdFAyzHeTneYBK,LA FAMA (with The Weeknd),ROSALÍA,2021-11-11
82,32,2021-11-18 16:00:04.739,33,Ghost,6I3mqTwhRpn34SLVafSH7G,Justice,Justin Bieber,2021-03-19
83,33,2021-11-18 16:00:04.739,34,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,After Hours,The Weeknd,2020-03-20
84,34,2021-11-18 16:00:04.739,35,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,2021-10-05
85,35,2021-11-18 16:00:04.739,36,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Lost Frequencies,2021-07-30
86,36,2021-11-18 16:00:04.739,37,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),01K4zKU104LyJ8gMb7227B,Red (Taylor's Version),Taylor Swift,2021-11-12
87,37,2021-11-18 16:00:04.739,38,Life Goes On,0eu4C55hL6x29mmeAjytzC,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,2021-05-28
88,38,2021-11-18 16:00:04.739,39,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),4CkgMiMqZ5JzW9iYXSTMTL,Red (Taylor's Version),Taylor Swift,2021-11-12
89,39,2021-11-18 16:00:04.739,40,Leave The Door Open,1LPSkqVhWVRUkKE03YUkpB,An Evening With Silk Sonic,Bruno Mars,2021-11-11
90,40,2021-11-18 16:00:04.739,41,Yonaguni,2JPLbjOn0wPCngEot2STUS,Yonaguni,Bad Bunny,2021-06-04
91,41,2021-11-18 16:00:04.739,42,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),4IQkfUsrwXol38VV3U7t7T,Red (Taylor's Version),Taylor Swift,2021-11-12
92,42,2021-11-18 16:00:04.739,43,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,THE ANXIETY,THE ANXIETY,2020-03-13
93,43,2021-11-18 16:00:04.739,44,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,2021-09-24
94,44,2021-11-18 16:00:04.739,45,traitor,5CZ40GBx1sQ9agT82CLQCT,SOUR,Olivia Rodrigo,2021-05-21
95,45,2021-11-18 16:00:04.739,46,I Love You So,4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walters,2014-11-28
96,46,2021-11-18 16:00:04.739,47,abcdefu,4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,2021-08-13
97,47,2021-11-18 16:00:04.739,48,Enchanted,04S1pkp1VaIqjg8zZqknR5,Speak Now,Taylor Swift,2010-01-01
98,48,2021-11-18 16:00:04.739,49,I Knew You Were Trouble (Taylor's Version),6AtZLIzUINvExIUy4QhdjP,Red (Taylor's Version),Taylor Swift,2021-11-12
99,49,2021-11-18 16:00:04.739,50,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,I Love You.,The Neighbourhood,2013-04-19
100,0,2021-11-19 16:00:02.631,1,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,2021-10-14
101,1,2021-11-19 16:00:02.631,2,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,Red (Taylor's Version),Taylor Swift,2021-11-12
102,2,2021-11-19 16:00:02.631,3,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23
103,3,2021-11-19 16:00:02.631,4,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,MONTERO,Lil Nas X,2021-09-17
104,4,2021-11-19 16:00:02.631,5,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,The Lockdown Sessions,Elton John,2021-10-22
105,5,2021-11-19 16:00:02.631,6,Heat Waves,02MWAaffLxlfxAUY7c5dvx,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06
106,6,2021-11-19 16:00:02.631,7,Shivers,50nfwKoDiSYg8zOCREWAm5,=,Ed Sheeran,2021-10-29
107,7,2021-11-19 16:00:02.631,8,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,=,Ed Sheeran,2021-10-29
108,8,2021-11-19 16:00:02.631,9,Pepas,2B4GHvToeLTOBB4QLzW3Ni,La 167,Farruko,2021-10-01
109,9,2021-11-19 16:00:02.631,10,Smokin Out The Window,7sMBvZCSUl99bJLXZaLa0b,An Evening With Silk Sonic,Bruno Mars,2021-11-11
110,10,2021-11-19 16:00:02.631,11,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) [from the series Arcane League of Legends],Imagine Dragons,2021-10-28
111,11,2021-11-19 16:00:02.631,12,MONEY,7hU3IHwjX150XLoTVmjD0q,LALISA,LISA,2021-09-10
112,12,2021-11-19 16:00:02.631,13,My Universe,46HNZY1i7O6jwTA7Slo2PI,Music Of The Spheres,Coldplay,2021-10-15
113,13,2021-11-19 16:00:02.631,14,One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,One Right Now,Post Malone,2021-11-05
114,14,2021-11-19 16:00:02.631,15,Woman,6Uj1ctrBOjOas8xZXGqKk4,Planet Her,Doja Cat,2021-06-25
115,15,2021-11-19 16:00:02.631,16,love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,CKay The First,CKay,2019-08-30
116,16,2021-11-19 16:00:02.631,17,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,4gvrJnKCKIPiacNsWVQwEU,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],CKay,2021-09-09
117,17,2021-11-19 16:00:02.631,18,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),09gysnJpfQ3ublBmJDfcEC,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,2021-09-16
118,18,2021-11-19 16:00:02.631,19,Toxic,2gQPv5jvVPqU2a9HhMNO1v,Toxic,BoyWithUke,2021-10-29
119,19,2021-11-19 16:00:02.631,20,good 4 u,4ZtFanR9U6ndgddUvNcjcG,SOUR,Olivia Rodrigo,2021-05-21
120,20,2021-11-19 16:00:02.631,21,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,Planet Her,Doja Cat,2021-06-25
121,21,2021-11-19 16:00:02.631,22,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,MONTERO,Lil Nas X,2021-09-17
122,22,2021-11-19 16:00:02.631,23,Do It To It,20on25jryn53hWghthWWW3,Do It To It,ACRAZE,2021-08-20
123,23,2021-11-19 16:00:02.631,24,Beggin',3Wrjm47oTz2sjIgck11l5e,Chosen,Måneskin,2017-12-08
124,24,2021-11-19 16:00:02.631,25,Moth To A Flame (with The Weeknd),2gpWyfu7eZ01zzncHpxOtA,Moth To A Flame,Swedish House Mafia,2021-10-22
125,25,2021-11-19 16:00:02.631,26,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,2021-07-30
126,26,2021-11-19 16:00:02.631,27,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,Planet Her,Doja Cat,2021-06-25
127,27,2021-11-19 16:00:02.631,28,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W,MONTERO,Lil Nas X,2021-09-17
128,28,2021-11-19 16:00:02.631,29,All Too Well (Taylor's Version),3nsfB1vus2qaloUdcBZvDu,Red (Taylor's Version),Taylor Swift,2021-11-12
129,29,2021-11-19 16:00:02.631,30,LA FAMA (with The Weeknd),6dmXZ9B5HdFAyzHeTneYBK,LA FAMA (with The Weeknd),ROSALÍA,2021-11-11
130,30,2021-11-19 16:00:02.631,31,Ghost,6I3mqTwhRpn34SLVafSH7G,Justice,Justin Bieber,2021-03-19
131,31,2021-11-19 16:00:02.631,32,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,Already Dead,Juice WRLD,2021-11-12
132,32,2021-11-19 16:00:02.631,33,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,2021-10-05
133,33,2021-11-19 16:00:02.631,34,Red (Taylor's Version),4OAuvHryIVv4kMDNSLuPt6,Red (Taylor's Version),Taylor Swift,2021-11-12
134,34,2021-11-19 16:00:02.631,35,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,After Hours,The Weeknd,2020-03-20
135,35,2021-11-19 16:00:02.631,36,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Lost Frequencies,2021-07-30
136,36,2021-11-19 16:00:02.631,37,Yonaguni,2JPLbjOn0wPCngEot2STUS,Yonaguni,Bad Bunny,2021-06-04
137,37,2021-11-19 16:00:02.631,38,abcdefu,4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,2021-08-13
138,38,2021-11-19 16:00:02.631,39,Life Goes On,0eu4C55hL6x29mmeAjytzC,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,2021-05-28
139,39,2021-11-19 16:00:02.631,40,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,THE ANXIETY,THE ANXIETY,2020-03-13
140,40,2021-11-19 16:00:02.631,41,Leave The Door Open,1LPSkqVhWVRUkKE03YUkpB,An Evening With Silk Sonic,Bruno Mars,2021-11-11
141,41,2021-11-19 16:00:02.631,42,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,2021-09-24
142,42,2021-11-19 16:00:02.631,43,traitor,5CZ40GBx1sQ9agT82CLQCT,SOUR,Olivia Rodrigo,2021-05-21
143,43,2021-11-19 16:00:02.631,44,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,1n3b9Eekoy3S9ZSZ5DmTW1,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,Taylor Swift,2021-11-18
